400,Europe/Zaporozhye,+020000
401,Europe/Zurich,+010000
402,Factory,+000000
403,GB,+000000
404,GB-Eire,+000000
405,GMT,+000000
406,GMT+0,+000000
407,GMT-0,+000000
408,GMT0,+000000
409,Greenwich,+000000
410,HST,-100000
411,Hongkong,+080000
412,Iceland,+000000
413,Indian/Antananarivo,+030000
414,Indian/Chagos,+050000
415,Indian/Christmas,+070000
416,Indian/Cocos,+0630
417,Indian/Comoro,+030000
418,Indian/Kerguelen,+050000
419,Indian/Mahe,+040000
420,Indian/Maldives,+050000
421,Indian/Mauritius,+040000
422,Indian/Mayotte,+030000
423,Indian/Reunion,+040000
424,Iran,+0330
425,Israel,+020000
426,Jamaica,-050000
427,Japan,+090000
428,Kwajalein,+120000
429,Libya,+020000
430,MET,+010000
431,MST,-070000
432,MST7MDT,-070000
433,Mexico/BajaNorte,-080000
434,Mexico/BajaSur,-070000
435,Mexico/General,-060000
436,Mideast/Riyadh87,+030704
437,Mideast/Riyadh88,+030704
438,Mideast/Riyadh89,+030704
439,NZ,+130000
440,NZ-CHAT,+1345
441,Navajo,-070000
442,PRC,+080000
443,PST8PDT,-080000
444,Pacific/Apia,-110000
445,Pacific/Auckland,+130000
446,Pacific/Chatham,+1345
447,Pacific/Easter,-050000
448,Pacific/Efate,+110000
449,Pacific/Enderbury,+130000
450,Pacific/Fakaofo,-100000
451,Pacific/Fiji,+130000
452,Pacific/Funafuti,+120000
453,Pacific/Galapagos,-060000
454,Pacific/Gambier,-090000
455,Pacific/Guadalcanal,+110000
456,Pacific/Guam,+100000
457,Pacific/Honolulu,-100000
458,Pacific/Johnston,-100000
459,Pacific/Kiritimati,+140000
460,Pacific/Kosrae,+110000
461,Pacific/Kwajalein,+120000
462,Pacific/Majuro,+120000
463,Pacific/Marquesas,-0930
464,Pacific/Midway,-110000
465,Pacific/Nauru,+120000
466,Pacific/Niue,-110000
467,Pacific/Norfolk,+1130
468,Pacific/Noumea,+110000
469,Pacific/Pago_Pago,-110000
470,Pacific/Palau,+090000
471,Pacific/Pitcairn,-080000
472,Pacific/Ponape,+110000
473,Pacific/Port_Moresby,+100000
474,Pacific/Rarotonga,-100000
